State,Median Salary
Alabama,"46,000.00"
Alaska,"50,000.00"
Arizona,"43,000.00"
Arkansas,"42,000.00"
California,"48,200.00"
Colorado,"46,000.00"
Connecticut,"55,000.00"
Delaware,"44,000.00"
District of Columbia,"78,000.00"
Florida,"40,000.00"
Georgia,"42,000.00"
Hawaii,"48,000.00"
Idaho,"45,000.00"
Illinois,"50,000.00"
Indiana,"45,000.00"
Iowa,"43,000.00"
Kansas,"45,000.00"
Kentucky,"44,000.00"
Louisiana,"43,000.00"
Maine,"43,000.00"
Maryland,"55,000.00"
Massachusetts,"57,000.00"
Michigan,"48,000.00"
Minnesota,"50,000.00"
Mississippi,"37,000.00"
Missouri,"45,000.00"
Montana,"40,000.00"
Nebraska,"45,000.00"
Nevada,"45,000.00"
New Hampshire,"50,000.00"
New Jersey,"56,000.00"
New Mexico,"38,480.00"
New York,"50,000.00"
North Carolina,"42,900.00"
North Dakota,"46,000.00"
Ohio,"46,002.00"
Oklahoma,"45,000.00"
Oregon,"45,000.00"
Pennsylvania,"49,088.00"
Rhode Island,"50,000.00"
South Carolina,"45,000.00"
South Dakota,"40,000.00"
Tennessee,"42,000.00"
Texas,"45,000.00"
Utah,"45,000.00"
Vermont,"50,000.00"
Virginia,"54,000.00"
Washington,"54,000.00"
West Virginia,"39,185.00"
Wisconsin,"45,000.00"
Wyoming,"45,000.00"
